,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Address
0,3X ENGINEERING,"Mainly operating in Oil & Gas industry, 3X expertise also extends to Power and Construction sectors. Developer, manufacturer, seller and installer of our products we offer to our clients a complete integrated service. From our head offices in Monaco, we operate worldwide in any environments (onshore/offshore/subsea) thanks to our large qualified distribution network of over 60 partners.",Stand: 2G88,No Data,No data,No Data,No Data,9 Avenue Albert II
1,ABB Limited,No Data,Stand: 3G60,No Data,No data,No Data,No Data,Howard Road
2,Achilles Information Limited,"Achilles is the global leader in supply chain risk and performance management. For over 30 years we’ve been helping buying organisations make better, more informed supply chain decisions – quicker. For suppliers, we open up a world of opportunities with global, cross sector supply chain visibility in one single platform. We have an unrivalled approach to collecting, validating and assuring supply chain data so that you don’t have to. Giving you time to focus on identifying, understanding and reducing risks before they become an issue. Because insight beats hindsight. www.achilles.com",Stand: 3B80,https://www.achilles.com/,No data,mailto:marketing@achilles.com,https://www.linkedin.com/company/achilles-group-limited,"30 Western Ave, Milton Park"
3,Advanced Drilling Technologies FZE,"Adrilltech offers a range of solutions that allow operators worldwide to drill challenging wells safely, quickly, accurately and cost-effectively.",Stand: 2D15,https://www.adrilltech.com/,+971 4 887 3088,mailto:info@adrilltech.com,https://www.linkedin.com/company/33214123/admin/,"FZS1-BB01, Jebel Ali South"
4,Aegex Technologies,No Data,Stand: 2H11,No Data,No data,No Data,No Data,"Flatiron Building,"
5,Air Partner,"Founded in 1961, Air Partner is a global aviation services group providing aircraft charter and aviation safety & security solutions to industry, commerce, governments and private individuals. The Group has two divisions: Air Partner Charter, comprising Group Charter, Private Jets, Freight and Specialist Services; and the Services Division, which comprises of training, consulting and managed services from Baines Simmons, Redline Assured Security, Kenyon International and CHS Engineering Services. The group employs 400+ aviation professionals, in 17 locations globally,",Stand: 1N30,https://www.airpartner.com/,+44 800 7 747 380,mailto:hello@airpartner.com,https://www.linkedin.com/company/air-partner/,2 City Place
6,Aker Solutions,"Aker Solutions delivers integrated solutions, products and services to the global energy industry. We enable low-carbon oil and gas production and develop renewable solutions to meet future energy needs. By combining innovative digital solutions and predictable project execution we accelerate the transition to sustainable energy production.",Stand: 3E40,https://akersolutions.com/,442089872000,mailto:marcomms@akersolutions.com,https://www.linkedin.com/company/aker-solutions,"Building 6, Chiswick Park,"
7,ALTISS Technologies,"ALTISS develop unique product solutions through the utilization of specialty materials such as aluminium, titanium, specialty steel and nickel based alloys.",Stand: 3A52,http://www.altisstech.com/,441675464200,mailto:lisa@titaniumengineers.co.uk,No Data,PO Box 1567
8,AMACH CONSULTING,"AMACH ENGINEERING & CONSTRUCTION is a company specializing in the manufacture of special industrial equipment to suit your needs. In this context, we have created the FLYPULL, an innovative RIGLESS HYDRAULIC PULLING UNIT that allows you to significantly reduce the cost and carbon impact of your operations. FLYPULL is suitable for both OFFSHORE and ONSHORE operations. Our partner AMACH ENERGY SERVICES, a petroleum services company, is at your disposal to assist you in your next operations.",Stand: 1T30,https://www.amach-international.com/,+33130938064,mailto:amach@amach.fr,No Data,ZA des Marceaux 4 rue des frères Montgolfier
9,AMARI METALS LTD,"Amari Metals is a consortium of companies that provide a route through which OEMs and sub-contractors in engineering and manufacturing can source their metals, processing requirements, components, fittings, forms and sections, the businesses can even help with product design. AMARI Metals is able to provide these services in a variety of materials from High Performance and Marine-Grade Stainless Steels, Copper, Brass, Bronze & Aluminium. Each company under the AMARI Metals umbrella operates independently and has a highly trained team providing the very best in customer satisfaction",Stand: 3H78,No Data,No data,mailto:cbush@amari-metals.com,No Data,"Parkway House, Unit 6 Parkway Industrial Estate,"
10,Anderson Anderson & Brown LLP,No Data,Stand: 1Q38,No Data,No data,No Data,No Data,Kingshill View
11,ArchiTube,"ArchiTube, a Dawood Engineering company, is a multidiscipline technology firm specializing in 3D BIM. We create active 3D models for international clients illustrating a complete architectural, construction, engineering, maintenance, and operations view—combined with precise scanning, structural, inventory, and underground installation details. Our BIM solutions are enhanced by Esri® ArcGIS platform integration, AutoDesk Revit Dynamo scripts, configurator tools, and web-based point cloud sharing products.",Stand: 1X35,https://architube.pl/,+48 608-083-278,mailto:adam.grewenda@dawood.net,https://www.linkedin.com/company/architube-sp-z-o-o/?viewAsMember=true,ul. Wolna 11
12,AS Controls Ltd,"AS Controls are a leading supplier of energy chain systems, joystick controls, operator consoles, radio remote controls, industrial safety switches and resistance banks.",Stand: 1M31,http://www.ascontrols.co.uk/,01778428500,mailto:sales@ascontrols.co.uk,https://www.linkedin.com/company/a-s-joysticks-ltd/,Unit 4 Hards Lane
13,ASAMS LTD,No Data,Stand: 1U51,No Data,No data,No Data,No Data,Marine Building Owen Road
14,Assured Occupational Health Ltd,"Assured Occupational Health is your local occupational health provider of choice. We provide the full range of offshore and occupational health services in a modern and up-to-date ""One-stop Clinic"". Our aim is to be your companion in HEALTH.",Stand: 2F11,http://www.assuredoh.co.uk/,+441224056002,mailto:admin@assuredoh.co.uk,https://www.linkedin.com/company/assured-occupational-health,Newmacher Business Centre
15,Atempo,"Data Management, Analytics, File Migration, Active Archive, Sync, Backup, Atempo is a leading independent European-based software vendor with a global presence. We provide solutions to store, move and recover all your data.",Stand: 3H61,https://www.atempo.com/,07 555 99 3529,mailto:uk@atempo.com,https://www.linkedin.com/company/atempo-north-europe/?viewAsMember=true,"11 Old Jewry, 8th Floor South"
16,Atlas Copco Rental UK,"With extensive expertise in offshore and renewables, we provide cost and energy efficient rental solutions for long or short-term demands, planned maintenance or unexpected emergencies. This includes compressed air, specialist subsea cleaning, power generation and nitrogen generation solutions. Our equipment is designed, manufactured, and tested to comply with ISO-1217 regulations; our machinery is built with API specifications in mind, and all units are fitted within DNV 2.7-1 lifting frames for offshore deployment, as well as rig safe compliance.",Stand: 2B46,https://www.atlascopco.com/en-uk/rental,+44 1382 778999,mailto:rentaluk@atlascopco.com,https://www.linkedin.com/showcase/atlas-copco-rental-solutions/,Unit 2 Waldridge Way
17,Baker Hughes,"Baker Hughes (NYSE: BKR) is an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and with operations in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.",Stand: 2D60,https://www.bakerhughes.com/,No data,No Data,https://www.linkedin.com/company/bakerhughes/,"Stoneywood Park N,"
18,Balmoral,"Our latest innovations will be on show and our highly experienced sales & technical teams will talk you through recent developments in cross-sector buoyancy, protection & insulation product solutions.",Stand: 3D30,https://www.balmoraloffshore.com/,441224859000,mailto:surety@balmoral.co.uk,https://www.linkedin.com/company/balmoral-comtec/?viewAsMember=true,Balmoral Park
19,Barlow Technology Ltd,"Barlow Technology supplies a range of industrial products & services for the marine and offshore, container handling, ports and harbours and the renewable energy industry. We work closely with worldwide partners to secure the ideal solution with regards application, placement, environmental conditions and location. Ideally suited to heavy industry, our high performance products include a range of brakes and braking systems, couplings, thrusters, steel wheels & tyres, encoders and electric drive motors; uniquely and reliably engineered to suit each client’s requirements.",Stand: 1M40,https://www.barlow-technology.com/,+44 (1642) 607706,mailto:richard@barlow-technology.com,https://www.linkedin.com/company/barlow-technology-limited/,4 Halegrove Court
20,Bartech Marine Engineering,"Your critical diesel engine experts for MTU, Caterpillar, Cummins, Detroit, Mercedes & many more. Our own team of OEM trained service engineers covering health checks, overhauls & breakdowns, with governor, control system & re-engineering specialists.",Stand: 1N51,https://bartechmarine.com/,441206791552,mailto:paul.bleck@bartechmarine.com,https://www.linkedin.com/company/bartech-marine-engineering,Units D-F
21,Beckhoff Automation Ltd,"With a universal toolkit of components and profound, cross-industry expertise, Beckhoff provides open automation systems for all industries on the basis of PC-based control technology.",Stand: 3G38,http://www.beckhoff.co.uk/,441491410539,mailto:info@beckhoff.co.uk,https://www.linkedin.com/company/beckhoff-automation-ltd/,The Boathouse
22,Beijing Art Space Expo Services Co Ltd,"SWS is a wholly owned subsidiary of China CSSC Holding Ltd., a publicly listed company controlled by China State Shipbuilding Corporation (CSSC).The main business of SWS covers design, construction and repair of marine vessels and offshore products.",Stand: 3C40,http://www.chinasws.com/,8621-38864500,mailto:office@chinasws.com,No Data,"Rm 1318,NO.9，"
23,"Beijing CEW International Fair Co., Ltd",No Data,"Stand: 1M51, 1M41",No Data,No data,No Data,No Data,Suite 202
24,Bekaert,No Data,Stand: 2M37,No Data,No data,No Data,No Data,101 Stevens Lane
25,Belzona Polymerics Ltd,"For 70 years, Belzona have been committed to pioneering innovative solutions that meet the maintenance demands found across the oil and gas industry. Our wide range of repair composites, high temperature coatings and linings has been specifically designed to provide outstanding erosion and corrosion protection and chemical resistance to equipment operating offshore and onshore at various temperatures and pressures. Belzona offers cost effective solutions, which reduce downtime and labour costs while eliminating the need for equipment replacement.",Stand: 3G29,https://www.belzona.co.uk/,01423 567641,mailto:sales@belzona.co.uk,https://www.linkedin.com/company/74530215/admin/,Claro Road
26,BGG UK Ltd,No Data,Stand: 1W49,No Data,No data,No Data,No Data,"Delta House, Heath Road,"
27,Bilfinger Salamis UK Ltd,No Data,Stand: 3C30,No Data,No data,No Data,No Data,4 Greenhole Place
28,BIS Valves Ltd,"BiS Valves design and manufacture a wide range of standard and bespoke small bore stainless steel control valves for the Offshore Oil and Gas industry for topside, subsea and downhole applications where quality, reliability and safety are critical.",Stand: 2H80,https://www.bisvalves.co.uk/,441202896322,mailto:judith.liddle@bisvalves.co.uk,https://www.linkedin.com/company/bis-valves-ltd-,Unit 17-23
29,Bolt & Nut Manufacturing Limited,"As an API 20E/20F and NORSOK M650 MDS D60L approved supplier, Bolt and Nut are the go to bolting supplier in the Energy industry.",Stand: 1J39,http://www.bnml.co.uk/,441902355110,mailto:joe.brennan@bnml.co.uk,https://www.linkedin.com/company/bolt-nut-manufacturing-ltd,"Unit 16,19 & 20"
30,Brand Energy & Infrastructure Services,"At Brand we develop inspection & maintenance plans based around your needs, utilising the most appropriate product and labour combination, from heavy-duty system scaffolding or rope access right through to blasting, painting and insulating. In fact, everything your facility, wind turbine or offshore platform requires to operate smoothly, effectively and safely. Benefiting from many years’ experience and able to draw upon huge global resources, we support our clients and help deliver high quality inspection & repair, term maintenance or new build capital projects.",Stand: 3E50,https://www.beis.com/,0844 335 8860,mailto:insight@beis.com,https://www.linkedin.com/company/brand-energy-&-infrastructure-services/,Regent Park
31,Bridge Systems Limited,"We aim to solve all your companies communications problems with a range of solutions from ATEX radio systems, push to talk over cellular devices, Wi-Fi coverage solutions and body worn devices.",Stand: 2M20,https://bridgesystemsltd.com/,01383 736621,mailto:info@bridgesystemsltd.com,https://www.linkedin.com/company/bridge-systems-ltd/,4 Castle Court
32,Brimmond Group,"Brimmond Group is an independent integrated engineering business with a rich history of accomplishment. The company delivers innovative and integrated solutions for all your hydraulic, pneumatic, mechanical and electrical needs. Its highly qualified team of engineers have experience of working across a wide range of sectors including oil and gas, marine, decommissioning, renewables, defence, nuclear and aquaculture. Brimmond Group engineers, can design, manufacture, refurbish and provide on rental, a wide range of equipment from concept to manufacture.",Stand: 1R39,https://www.brimmond-group.com/brimmond,01467 633805,mailto:sales@brimmond-group.com,https://www.linkedin.com/company/brimmond-group/mycompany/,Tofthills Avenue
33,Bureau Veritas,No Data,Stand: 1R51,No Data,No data,No Data,No Data,1 Pavilion One
34,Business France,"Business France is the national agency supporting the international development of the French economy, responsible for fostering export growth by French businesses, as well as promoting and facilitating international investment in France. Business France has 1500 personnel in 58 countries.",Stand: 1T30,http://www.businessfrance.fr/,+33 4 96 17 25 29,mailto:sarida.bendjeddou@businessfrance.fr,https://www.linkedin.com/groups/4199046,77 boulevard Saint Jacques
35,C.C. Jensen Limited,No Data,Stand: 1S41,No Data,No data,No Data,No Data,Unit 26
36,Cactus Industrial Ltd,"Cactus Industrial is the leading specialist supplier of high-performance Surface Preparation and Composites & Coatings technology. Our solutions repair and protect offshore equipment and structures against erosion, corrosion and chemical attack.",Stand: 2F80,http://www.cactusindustrial.com/,44(0) 1698 591 635,mailto:info@cactusindustrial.com,https://www.linkedin.com/company/cactus-industrial-limited,Unit 11
37,Causeway Technologies (UK) Ltd,No Data,Stand: 1M20,No Data,No data,No Data,No Data,Comino House
38,Celeros Flow Technology,No Data,Stand: 3B50,No Data,No data,No Data,No Data,3 International View
39,Cengar Ltd,"The company was formed in Halifax, West Yorkshire, UK in 1945 to manufacture air tools for use by the Motor Trade and Aircraft Industry. Through our continuous improvement policy, our saws are now used for cutting every type of metal and composites in a wide range of industries including: * Offshore Oil Rigs * Petrochemical Refineries * Luxury Yacht Manufacture * Wooden Pallet Repair * Bus and Specialist Vehicle Manufacturing * Vehicle Adaptations and Conversions * Ship Maintenance * Shipping",Stand: 1H49,https://cengar.com/,01422 377904,mailto:enquiries@cengar.com,https://www.linkedin.com/company/cengar-limited/,Springfield Works
40,CENGAR LTD,No Data,Stand: 1H49,No Data,No data,No Data,No Data,Springfield Works
41,Centurion Group,No Data,Stand: 3C70,No Data,No data,No Data,No Data,Unit 6
42,Centurion Group Holdings Limited,No Data,Stand: 3C70,No Data,No data,No Data,No Data,Unit 6
43,Chemco International Ltd,"World Leader in the Design and Manufacture of Innovative Protective, Marine and Offshore Coatings",Stand: 2F40,https://www.chemcoint.com/,+441236606060,mailto:angus.cochrane@chemcoint.com,https://www.linkedin.com/company/chemco-international,East Shawhead Industrial Estate
